id;creation_date;acceptance;denial;acceptance_denial_date
1;2019-10-04T13:14:06;true;false;2019-10-05T04:48:21
2;2019-10-04T18:27:06;false;true;2019-10-04T10:43:09
3;2019-10-04T20:57:59;true;true;2019-10-05T04:01:52
4;2019-10-05T04:29:12;true;false;2019-10-04T11:07:16
5;2019-10-04T12:45:29;true;true;2019-10-04T13:06:29
6;2019-10-04T19:05:48;false;false;2019-10-05T03:35:53
7;2019-10-05T01:54:36;true;true;2019-10-04T13:58:17
8;2019-10-04T12:45:38;true;true;2019-10-05T00:34:58
9;2019-10-04T15:34:27;true;true;2019-10-04T13:52:08
10;2019-10-05T08:16:18;true;false;2019-10-04T15:26:35
