id;creation_date;room_name;room_description;private_room;image;image_content_type
1;2019-10-05T09:47:49;Producer;Implementation Electronics Officer;true;../fake-data/blob/hipster.png;image/png
2;2019-10-05T02:59:21;Albania web-readiness;Namibia;false;../fake-data/blob/hipster.png;image/png
3;2019-10-05T06:56:35;zero administration;Multi-channelled Licensed;true;../fake-data/blob/hipster.png;image/png
4;2019-10-05T05:29:55;Cambridgeshire Mississippi;HDD;true;../fake-data/blob/hipster.png;image/png
5;2019-10-05T06:11:54;Small Frozen Sausages Planner;envisioneer Music Public-key;false;../fake-data/blob/hipster.png;image/png
6;2019-10-04T23:43:38;Rubber Buckinghamshire Games;incentivize Tuna copy;false;../fake-data/blob/hipster.png;image/png
7;2019-10-04T21:48:34;Mayotte;Industrial;true;../fake-data/blob/hipster.png;image/png
8;2019-10-04T15:41:16;Markets Chief;capacitor archive;true;../fake-data/blob/hipster.png;image/png
9;2019-10-05T05:35:14;Tasty Plastic Pizza scale;South Georgia and the South Sandwich Islands;true;../fake-data/blob/hipster.png;image/png
10;2019-10-05T01:43:44;mission-critical Faroe Islands Plastic;Car Industrial deliverables;false;../fake-data/blob/hipster.png;image/png
